,State,Cumulative Cases,AsOf,Daily New Cases,Total US Cases to Date(excluding Non-Residents)
622,Wisconsin,31.0,2022-08-14,0.0,11887
52,Wisconsin,31.0,2022-08-15,0.0,11887
624,Wyoming,0.0,2022-08-04,0.0,11887
461,Wyoming,0.0,2022-08-05,0.0,11887
462,Wyoming,0.0,2022-08-06,0.0,11887
463,Wyoming,0.0,2022-08-07,0.0,11887
464,Wyoming,0.0,2022-08-08,0.0,11887
465,Wyoming,0.0,2022-08-09,0.0,11887
466,Wyoming,0.0,2022-08-10,0.0,11887
467,Wyoming,0.0,2022-08-11,0.0,11887
52,Wyoming,0.0,2022-08-12,0.0,11887
633,Wyoming,0.0,2022-08-13,0.0,11887
634,Wyoming,0.0,2022-08-14,0.0,11887
53,Wyoming,0.0,2022-08-15,0.0,11887
